"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","ADPT","ADPT_ATTRIBUTES","ASLP","ASLP_ATTRIBUTES","ASTP","ASTP_ATTRIBUTES","AWBT","AWBT_ATTRIBUTES","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HN03","HN03_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","HX03","HX03_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LN03","LN03_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","LX03","LX03_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MN03","MN03_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","MX03","MX03_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","RHAV","RHAV_ATTRIBUTES","RHMN","RHMN_ATTRIBUTES","RHMX","RHMX_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00024089","1949-06","42.89778","-106.47361","1621.1","CASPER NATRONA CO AIRPORT, WY US","","","","","","","","","","","14.0","0","14.0",",0","7",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","21",",0","0",",0","4","","","","19490603","+,,0","19490630","+,,0","19490630","+,,0","11","","19490602",",,0","19490629","+,,0","2.8",",0,03,+","0",",,0,30,+","0",",,0,30,+","7.1",",,0,02,","31.1",",0,29,+","","","","","","","","","92.1",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.2",",,,0","","","","","","","0",",,,0","15.73",",0","24.22",",,,0","7.23",",,,0","","","","","","","","","","","","","","","","","",""
"USW00024089","1949-07","42.89778","-106.47361","1621.1","CASPER NATRONA CO AIRPORT, WY US","","","","","","","","","","","116.0","0","102.0",",0","6",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","18",",0","","","","","19490721",",,0","19490731","+,,0","19490731","+,,0","11","","19490703",",,0","19490731","+,,0","3.9",",0,21,","0",",,0,31,+","0",",,0,31,+","5.3",",,0,03,","35.0",",0,31,+","4.4","0","","","","","","","4.4",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.5",",,,0","","","","","","","0",",,,0","21.48",",0","31.56",",,,0","11.40",",,,0","","","","","","","","","","","","","","","","","",""
"USW00024089","1949-08","42.89778","-106.47361","1621.1","CASPER NATRONA CO AIRPORT, WY US","","","","","","","","","","","204.6","0","88.6",",0","6",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","13",",0","","","","","19490831","+,,0","19490831","+,,0","19490831","+,,0","6","","19490808",",,0","19490807",",,0","5.0",",0,31,+","0",",,0,31,+","0",",,0,31,+","4.8",",,0,08,","36.7",",0,07,","11.9","0","","","","","","","7.5",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.2",",,,0","","","","","","","0",",,,0","20.95",",0","30.99",",,,0","10.90",",,,0","","","","","","","","","","","","","","","","","",""
"USW00024089","1949-09","42.89778","-106.47361","1621.1","CASPER NATRONA CO AIRPORT, WY US","","","","","","","","","","","204.9","0","0.3",",0","6",",0","4",",0","0",",0","0",",0","1",",0","0",",0","4",",0","0",",0","23",",0","0",",0","3","","","","19490913",",,0","19490930","+,,0","19490912",",,0","5","","19490903",",,0","19490902",",,0","-5.0",",0,13,","0",",,0,30,+","25",",,0,12,","3.8",",,0,03,","30.6",",0,02,","143.4","0","","","","","","","131.5",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.8",",,,0","","","","","","","25",",,,0","13.96",",0","23.73",",,,0","4.19",",,,0","","","","","","","","","","","","","","","","","",""
"USW00024089","1949-10","42.89778","-106.47361","1621.1","CASPER NATRONA CO AIRPORT, WY US","","","","","","","","","","","204.9","0","0.0",",0","11",",0","5",",0","0",",0","5",",0","4",",0","0",",0","25",",0","3",",0","3",",0","0",",0","5","","","","19491021",",,0","19491020",",,0","19491020",",,0","2","","19491007",",,0","19491005","+,,0","-11.1",",0,21,","152",",,0,20,","292",",,0,20,","16.5",",,0,07,","25.6",",0,05,+","557.1","0","","","","","","","413.7",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.8",",,,0","","","","","","","569",",,,0","4.99",",0","11.78",",,,0","-1.80",",,,0","","","","","","","","","","","","","","","","","",""
"USW00024089","1949-11","42.89778","-106.47361","1621.1","CASPER NATRONA CO AIRPORT, WY US","","","","","","","","","","","204.9","0","0.0",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","19",",0","0",",0","0",",0","0",",0","","","","","19491129",",,0","19491130","+,,0","19491128","+,,0","","","19491115","+,,0","19491104","+,,0","-10.0",",0,29,","0",",,0,30,+","0",",T,0,28,+","0.5",",,0,15,+","18.3",",0,04,+","928.6","0","","","","","","","371.5",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0",",,,0","","","","","","","0",",T,,0","5.95",",0","14.05",",,,0","-2.15",",,,0","","","","","","","","","","","","","","","","","",""
"USW00024089","1949-12","42.89778","-106.47361","1621.1","CASPER NATRONA CO AIRPORT, WY US","","","","","","","","","","","204.9","0","0.0",",0","6",",0","3",",0","0",",0","8",",0","5",",0","7",",0","31",",0","11",",0","0",",0","0",",0","","","","","19491220",",,0","19491225","+,,0","19491224",",,0","","","19491210",",,0","19491205",",,0","-22.2",",0,20,","51",",,0,25,+","107",",,0,24,","3.3",",,0,10,","12.8",",0,05,","1628.6","0","","","","","","","700.0",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.2",",,,0","","","","","","","290",",,,0","-4.25",",0","2.21",",,,0","-10.70",",,,0","","","","","","","","","","","","","","","","","",""
"USW00024089","1950-01","42.89778","-106.47361","1621.1","CASPER NATRONA CO AIRPORT, WY US","","","","","","","","","","","0.0","0","0.0",",0","6",",0","2",",0","0",",0","7",",0","3",",0","14",",0","29",",0","15",",0","0",",0","0",",0","","","","","19500129",",,0","19500109",",,0","19500102",",,0","","","19500109",",,0","19500121",",,0","-32.2",",0,29,","102",",,0,09,","107",",,0,02,","5.1",",,0,09,","13.3",",0,21,","2442.6","0","","","","","","","814.0",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.5",",,,0","","","","","","","260",",,,0","-7.92",",0","0.03",",,,0","-15.87",",,,0","","","","","","","","","","","","","","","","","",""
"USW00024089","1950-02","42.89778","-106.47361","1621.1","CASPER NATRONA CO AIRPORT, WY US","","","","","","","","","","","0.0","0","0.0",",0","3",",0","1",",0","0",",0","1",",0","1",",0","2",",0","22",",0","4",",0","0",",0","0",",0","","","","","19500201",",,0","19500221",",,0","19500221",",,0","","","19500221",",,0","19500226",",,0","-23.3",",0,01,","25",",,0,21,","71",",,0,21,","5.3",",,0,21,","17.2",",0,26,","2944.4","0","","","","","","","501.8",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.6",",,,0","","","","","","","86",",,,0","0.41",",0","6.86",",,,0","-6.04",",,,0","","","","","","","","","","","","","","","","","",""
"USW00024089","1950-03","42.89778","-106.47361","1621.1","CASPER NATRONA CO AIRPORT, WY US","","","","","","","","","","","0.0","0","0.0",",0","11",",0","4",",0","0",",0","5",",0","5",",0","3",",0","27",",0","4",",0","0",",0","0",",0","2","","","","19500311",",,0","19500311","+,,0","19500318",",,0","","","19500318",",,0","19500305",",,0","-21.1",",0,11,","76",",,0,11,+","81",",,0,18,","6.9",",,0,18,","18.9",",0,05,","3533.0","0","","","","","","","588.6",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.1",",,,0","","","","","","","322",",,,0","-0.65",",0","6.21",",,,0","-7.52",",,,0","","","","","","","","","","","","","","","","","",""
"USW00024089","1950-04","42.89778","-106.47361","1621.1","CASPER NATRONA CO AIRPORT, WY US","","","","","","","","","","","0.0","0","0.0",",0","13",",0","7",",0","0",",0","2",",0","6",",0","0",",0","21",",0","0",",0","2",",0","0",",0","3","","","","19500404",",,0","19500429","+,,0","19500418",",,0","2","","19500409",",,0","19500422",",,0","-9.4",",0,04,","25",",,0,29,+","127",",,0,18,","23.6",",,0,09,","24.4",",0,22,","3938.6","0","","","","","","","405.6",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55.0",",,,0","","","","","","","528",",,,0","4.81",",0","11.74",",,,0","-2.11",",,,0","","","","","","","","","","","","","","","","","",""
"USW00024089","1950-05","42.89778","-106.47361","1621.1","CASPER NATRONA CO AIRPORT, WY US","","","","","","","","","","","0.0","0","0.0",",0","13",",0","6",",0","0",",0","3",",0","5",",0","0",",0","14",",0","1",",0","6",",0","0",",0","2","","","","19500505",",,0","19500504",",,0","19500504",",,0","5","","19500504",",,0","19500522",",,0","-6.7",",0,05,","178",",,0,04,","241",",,0,04,","12.4",",,0,04,","26.7",",0,22,","4261.4","0","","","","","","","322.8",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.0",",,,0","","","","","","","606",",,,0","7.92",",0","14.81",",,,0","1.03",",,,0","","","","","","","","","","","","","","","","","",""
"USW00024089","1950-06","42.89778","-106.47361","1621.1","CASPER NATRONA CO AIRPORT, WY US","","","","","","","","","","","15.9","0","15.9",",0","9",",0","6",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","23",",0","0",",0","2","","","","19500602",",,0","19500602",",,0","19500618","+,,0","9","","19500602",",,0","19500614","+,,0","1.1",",0,02,","0",",T,0,02,","0",",T,0,18,+","13.5",",,0,02,","31.1",",0,14,+","4344.6","0","","","","","","","83.2",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.1",",,,0","","","","","","","0",",T,,0","16.09",",0","24.31",",,,0","7.87",",,,0","","","","","","","","","","","","","","","","","",""
"USW00024089","1950-07","42.89778","-106.47361","1621.1","CASPER NATRONA CO AIRPORT, WY US","","","","","","","","","","","59.9","0","44.0",",0","10",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","1",",0","1","","","","19500730",",,0","19500731","+,,0","19500717",",,0","14","","19500723",",,0","19500710",",,0","5.6",",0,30,","0",",,0,31,+","0",",T,0,17,","8.4",",,0,23,","32.8",",0,10,","21.4","0","","","","","","","21.4",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.4",",,,0","","","","","","","0",",T,,0","19.06",",0","27.10",",,,0","11.02",",,,0","","","","","","","","","","","","","","","","","",""
"USW00024089","1950-08","42.89778","-106.47361","1621.1","CASPER NATRONA CO AIRPORT, WY US","","","","","","","","","","","108.5","0","48.6",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","2",",0","1","","","","19500820",",,0","19500831","+,,0","19500831","+,,0","5","","19500826","+,,0","19500831",",,0","5.0",",0,20,","0",",,0,31,+","0",",,0,31,+","0.3",",,0,26,+","33.9",",0,31,","43.4","0","","","","","","","22.0",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.6",",,,0","","","","","","","0",",,,0","19.19",",0","28.30",",,,0","10.08",",,,0","","","","","","","","","","","","","","","","","",""
"USW00024089","1950-09","42.89778","-106.47361","1621.1","CASPER NATRONA CO AIRPORT, WY US","","","","","","","","","","","134.4","0","25.9",",0","10",",0","8",",0","1",",0","0",",0","0",",0","0",",0","3",",0","0",",0","15",",0","5",",0","7","","","","19500930",",,0","19500930","+,,0","19500930",",,0","4","","19500920",",,0","19500904","+,,0","-1.1",",0,30,","0",",,0,30,+","20",",,0,30,","44.7",",,0,20,","33.9",",0,04,+","215.9","0","","","","","","","172.5",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.1",",,,0","","","","","","","20",",,,0","13.45",",0","20.52",",,,0","6.37",",,,0","","","","","","","","","","","","","","","","","",""
"USW00024089","1950-10","42.89778","-106.47361","1621.1","CASPER NATRONA CO AIRPORT, WY US","","","","","","","","","","","134.4","0","0.0",",0","3",",0","1",",0","0",",0","2",",0","1",",0","0",",0","6",",0","1",",0","17",",0","0",",0","3","","","","19501002",",,0","19501001",",,0","19501001",",,0","2","","19501001",",,0","19501012",",,0","-9.4",",0,02,","152",",,0,01,","196",",,0,01,","18.0",",,0,01,","26.7",",0,12,","435.5","0","","","","","","","219.6",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.8",",,,0","","","","","","","196",",,,0","11.25",",0","19.52",",,,0","2.98",",,,0","","","","","","","","","","","","","","","","","",""
"USW00024089","1950-11","42.89778","-106.47361","1621.1","CASPER NATRONA CO AIRPORT, WY US","","","","","","","","","","","134.4","0","0.0",",0","7",",0","2",",0","0",",0","5",",0","4",",0","1",",0","24",",0","6",",0","0",",0","0",",0","1","","","","19501109",",,0","19501109","+,,0","19501108",",,0","","","19501108",",,0","19501126",",,0","-21.1",",0,09,","51",",,0,09,+","61",",,0,08,","3.3",",,0,08,","16.7",",0,26,","955.5","0","","","","","","","520.0",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.4",",,,0","","","","","","","180",",,,0","1.00",",0","7.36",",,,0","-5.36",",,,0","","","","","","","","","","","","","","","","","",""
"USW00024089","1950-12","42.89778","-106.47361","1621.1","CASPER NATRONA CO AIRPORT, WY US","","","","","","","","","","","134.4","0","0.0",",0","5",",0","2",",0","0",",0","2",",0","3",",0","2",",0","27",",0","3",",0","0",",0","0",",0","2","","","","19501205",",,0","19501231","+,,0","19501201",",,0","","","19501207","+,,0","19501223",",,0","-25.0",",0,05,","25",",,0,31,+","58",",,0,01,","2.5",",,0,07,+","11.1",",0,23,","1538.6","0","","","","","","","583.1",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.6",",,,0","","","","","","","150",",,,0","-0.48",",0","5.53",",,,0","-6.48",",,,0","","","","","","","","","","","","","","","","","",""
"USW00024089","1951-01","42.89778","-106.47361","1621.1","CASPER NATRONA CO AIRPORT, WY US","","","","","","","","","","","0.0","0","0.0",",0","7",",0","0",",0","0",",0","5",",0","3",",0","5",",0","30",",0","13",",0","0",",0","0",",0","1","","","","19510128",",,0","19510120",",,0","19510120",",,0","","","19510122",",,0","19510126",",,0","-30.6",",0,28,","51",",,0,20,","43",",,0,20,","2.0",",,0,22,","10.0",",0,26,","2305.0","0","","","","","","","766.4",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.9",",,,0","","","","","","","158",",,,0","-6.39",",0","-0.76",",,,0","-12.02",",,,0","","","","","","","","","","","","","","","","","",""
"USW00024089","1951-02","42.89778","-106.47361","1621.1","CASPER NATRONA CO AIRPORT, WY US","","","","","","","","","","","0.0","0","0.0",",0","5",",0","1",",0","0",",0","2",",0","1",",0","2",",0","26",",0","7",",0","0",",0","0",",0","4","","","","19510201",",,0","19510228","+,,0","19510227",",,0","","","19510227",",,0","19510210",",,0","-26.7",",0,01,","25",",,0,28,+","41",",,0,27,","2.5",",,0,27,","15.6",",0,10,","2855.3","0","","","","","","","550.3",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.1",",,,0","","","","","","","87",",,,0","-1.32",",0","5.06",",,,0","-7.70",",,,0","","","","","","","","","","","","","","","","","",""
"USW00024089","1951-03","42.89778","-106.47361","1621.1","CASPER NATRONA CO AIRPORT, WY US","","","","","","","","","","","0.0","0","0.0",",0","9",",0","1",",0","0",",0","3",",0","1",",0","1",",0","31",",0","6",",0","0",",0","0",",0","","","","","19510303",",,0","19510302",",,0","19510302",",,0","","","19510302",",,0","19510326",",,0","-22.8",",0,03,","152",",,0,02,","198",",,0,02,","4.6",",,0,02,","17.8",",0,26,","3481.1","0","","","","","","","625.8",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.4",",,,0","","","","","","","336",",,,0","-1.85",",0","5.44",",,,0","-9.15",",,,0","","","","","","","","","","","","","","","","","",""
"USW00024089","1951-04","42.89778","-106.47361","1621.1","CASPER NATRONA CO AIRPORT, WY US","","","","","","","","","","","0.0","0","0.0",",0","11",",0","5",",0","0",",0","1",",0","3",",0","0",",0","24",",0","4",",0","0",",0","0",",0","3","","","","19510422","+,,0","19510424",",,0","19510424",",,0","3","","19510424",",,0","19510413",",,0","-10.0",",0,22,+","51",",,0,24,","102",",,0,24,","9.9",",,0,24,","20.6",",0,13,","3932.4","0","","","","","","","451.3",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.2",",,,0","","","","","","","232",",,,0","3.29",",0","10.23",",,,0","-3.65",",,,0","","","","","","","","","","","","","","","","","",""
